raw_model,normalized_model,r_pf_ohm_per_km,x_pf_ohm_per_km,imax_base_a,imax_upper_ref_a,parameter_grade,status,remaining_note
JKLGYJ-240,JKLGYJ-10-240/30,0.13,0.356,500.0,550.0,B,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JKLGYJ-70,JKLGYJ-10-70/10,0.443,0.397,245.0,247.5,B,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JKLYJ-150,JKLYJ-10-150,0.26368,0.295839341,285.0,400.0,A/B,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JKLYJ-240/10,JKLYJ-10-240 (raw写法与典型库JKLYJ-240/10等价),0.13,0.356,500.0,550.0,A/B,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JKLYJ/Q-10-240,JKLYJ/Q-10-240,0.13,0.356,500.0,550.0,B+,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JKLYJ/QN-10-240,JKLYJ/QN-10-240,0.13,0.356,500.0,550.0,B,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JL(GD)/GIA-240/40,JL(GD)/G1A-240/40,0.1232,0.356,550.0,595.22,B,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JL/G1A-240/30,JL/G1A-240/30,0.13,0.356,550.0,562.0,B+,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JLB3-35,JLB3-35 (疑似地线/铝包钢类，不应作为10kV相导线瓶颈),0.1232,0.356,550.0,595.22,C-PROXY,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
JLRX/T-120/30,JLRX/T-120/30 (碳纤维复合芯耐热导线家族),0.33,0.38,300.0,350.0,C-PROXY,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
LGJ-10-240,LGJ-240/30 ≈ JL/G1A-240/30,0.13,0.356,550.0,562.0,B+,RESOLVED_BY_PUBLIC_RESEARCH,若C-PROXY成为瓶颈则复核；B级关键主干按给定敏感性范围运行
