conductor_key,raw_model,normalized_model,electrical_proxy,span_count,total_length_km,feeders,r_pf_ohm_per_km,x_pf_ohm_per_km,imax_base_a,imax_upper_ref_a,thermal_base_mva_at_10kv,thermal_upper_mva_at_10kv,r20_reference,parameter_grade,mapping_rule,sensitivity_rule,formal_use_rule,source_r_x,source_imax,source_mapping
COND-01,JKLGYJ-240,JKLGYJ-10-240/30,JKLYJ-240/10 (240 mm² insulated overhead typical library),155,7.75,hdong,0.13,0.356,500.0,550.0,8.6603,9.5263,~0.125 class / conductor-family reference,B,raw省略10kV与钢芯截面；按10kV工程常见240/30映射,R ±10%; X ±15%; Imax 500~550 A,规划案例可用；若成为最终瓶颈，优先按台账/厂家复核,https://patents.google.com/patent/CN116581754A/zh,https://upload.xuancheng.gov.cn/download?id=693357&siteId=6,https://ggzy.ht.gov.cn/jyxx/001004/001004001/20260610/45de60d1-eae9-46a8-8704-cc5323d3b243.html
COND-02,JKLGYJ-70,JKLGYJ-10-70/10,70 mm² insulated steel-core overhead,12,0.6,dzhen,0.443,0.397,245.0,247.5,4.2435,4.2868,0.443 Ω/km class,B,raw省略10kV与钢芯截面；按10kV工程常见70/10映射,R ±10%; X 0.34~0.44 Ω/km; Imax 220~247.5 A,规划案例可用；非关键主干,R按70 mm²铝导体标准族；X为10kV架空线典型值（几何缺失）,https://upload.xuancheng.gov.cn/download?id=693357&siteId=6,https://www.jl.gov.cn/ggzy/sysggzy/sysjyxx/sysgcjs/ccsgczbgg/202605/t20260528_9636242.html
COND-03,JKLYJ-150,JKLYJ-10-150,exact typical-library match,6,0.3,hpao,0.26368,0.295839341,285.0,400.0,4.9363,6.9282,0.206 Ω/km standard conductor reference; PF library uses 0.26368,A/B,直接等价命名,R/X用典型参数库；Imax 285~400 A,R/X可直接用于规划潮流；Imax必须做285/400两档敏感性,https://patents.google.com/patent/CN116581754A/zh,https://upload.xuancheng.gov.cn/download?id=693357&siteId=6,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=498F0E9BDCC9F878D7A6272E0AEC46AD
COND-04,JKLYJ-240/10,JKLYJ-10-240 (raw写法与典型库JKLYJ-240/10等价),exact typical-library match,3,0.15,dzhen,0.13,0.356,500.0,550.0,8.6603,9.5263,0.125 Ω/km class,A/B,240/10解释为240 mm²、10kV的历史/系统写法，不解释为钢芯240/10,R ±5%; X ±15%; Imax 500~550 A,规划案例可直接使用,https://patents.google.com/patent/CN116581754A/zh,https://upload.xuancheng.gov.cn/download?id=648384&siteId=3,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=498F0E9BDCC9F878D7A6272E0AEC46AD
COND-05,JKLYJ/Q-10-240,JKLYJ/Q-10-240,JKLYJ-240/10 electrical conductor equivalent,841,43.94,"dnan,dxi,dzhen,hzhen",0.13,0.356,500.0,550.0,8.6603,9.5263,0.125 Ω/km class,B+,Q为绝缘结构/耐候类别差异，导电芯按240 mm² JKLYJ等效,关键主干：Imax必须同时跑500 A与550 A；X ±15%,本案例关键主干，可作为规划基准；报告明确为典型参数而非实测,https://patents.google.com/patent/CN116581754A/zh,https://upload.xuancheng.gov.cn/download?id=648384&siteId=3,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=498F0E9BDCC9F878D7A6272E0AEC46AD
COND-06,JKLYJ/QN-10-240,JKLYJ/QN-10-240,JKLYJ-240/10 electrical conductor equivalent,5,0.25,hpao,0.13,0.356,500.0,550.0,8.6603,9.5263,0.125 Ω/km class,B,QN绝缘/结构变体按240 mm²导电芯等效,Imax 500~550 A；X ±15%,规划案例可用；仅0.25 km,https://patents.google.com/patent/CN116581754A/zh,https://upload.xuancheng.gov.cn/download?id=648384&siteId=3,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=498F0E9BDCC9F878D7A6272E0AEC46AD
COND-07,JL(GD)/GIA-240/40,JL(GD)/G1A-240/40,高导电率钢芯铝绞线240/40,39,1.95,hdong,0.1232,0.356,550.0,595.22,9.5263,10.3095,0.1171 Ω/km; literature AC resistance 0.1232 Ω/km,B,GIA按G1A；保留GD，原始名称更像高导电率JL(GD)/G1A而非普通JL/G1A,R用0.1232；X ±15%；Imax 550~595.22 A,Imax采用普通240/40的保守参考，高导电率同几何不应更低；瓶颈时复核,https://pdf.hanspub.org/tdet20200200000_87962235.pdf,https://hbj.yzcity.gov.cn/hbj/031005/202506/f53fbe5f8fab47c696d9720a7c11fad6/files/dd041c21d3304b01a96e41ee0fa8e614.pdf,https://pdf.hanspub.org/tdet20200200000_87962235.pdf
COND-08,JL/G1A-240/30,JL/G1A-240/30,exact bare ACSR family,6,0.3,hpao,0.13,0.356,550.0,562.0,9.5263,9.7341,0.1181 Ω/km,B+,直接规范化,PF模型R取0.13保守高于20℃直流0.1181；X ±15%；Imax 550~562 A,规划案例可用,https://sthjj.huhhot.gov.cn/ywgz/hjyxpj/xmslqk/202511/P020251127380578958416.pdf,https://sthjj.quanzhou.gov.cn/hjgl/hbsp/hpslqkgk/202606/P020260618423129515361.pdf,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=F936B58052E9B750D1FEF196B660A084
COND-09,JLB3-35,JLB3-35 (疑似地线/铝包钢类，不应作为10kV相导线瓶颈),JL(GD)/G1A-240/40 adjacent phase-span proxy,1,0.05,hdong,0.1232,0.356,550.0,595.22,9.5263,10.3095,raw JLB3 not used as phase conductor,C-PROXY,该型号仅hdong源端1→2一档50m，后一档立即为JL(GD)/G1A-240/40；按相导线连续性代理,如该50m边成为瓶颈，立即停止正式结论并人工复核,禁止使用JLB3-35自身地线参数限制相功率；使用相邻主干代理,https://pdf.hanspub.org/tdet20200200000_87962235.pdf,https://hbj.yzcity.gov.cn/hbj/031005/202506/f53fbe5f8fab47c696d9720a7c11fad6/files/dd041c21d3304b01a96e41ee0fa8e614.pdf,current structured topology adjacency
COND-10,JLRX/T-120/30,JLRX/T-120/30 (碳纤维复合芯耐热导线家族),conservative 120 mm² insulated-overhead proxy,1,0.05,dzhen,0.33,0.38,300.0,350.0,5.1962,6.0622,not located for exact 120/30 variant,C-PROXY,JLRX/T家族可确认，但120/30精确型式参数未检得；仅1档50m分支，采用保守120 mm²代理,R 0.30~0.38; X 0.32~0.44; Imax 300~350 A,若该支路进入关键转供路径或成为瓶颈，需单独复核,engineering conservative proxy; exact family supported by patent,https://upload.xuancheng.gov.cn/download?id=693357&siteId=6,https://patents.google.com/patent/CN105529651A/zh
COND-11,LGJ-10-240,LGJ-240/30 ≈ JL/G1A-240/30,JL/G1A-240/30,55,2.75,hpao,0.13,0.356,550.0,562.0,9.5263,9.7341,0.1181 Ω/km,B+,10表示10kV工程语境，240为铝截面；按10kV工程常见LGJ-240/30映射,关键hpao主干：Imax 550/562两档；X ±15%,本案例关键主干，可作为规划基准,https://sthjj.huhhot.gov.cn/ywgz/hjyxpj/xmslqk/202511/P020251127380578958416.pdf,https://sthjj.quanzhou.gov.cn/hjgl/hbsp/hpslqkgk/202606/P020260618423129515361.pdf,https://www.ggzy.gov.cn/information/deal/html/b/0067/0101/20260604/00679edf62f7e5a847868b19d27564377738.html
