issue_id,series_column_1_based,transformer_uid,approval_status,missing_hours_2025,description,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
TS-01,1,QX-00005|110|BDZ-00141|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-02,2,QX-00005|110|BDZ-00096|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-03,3,QX-00005|110|BDZ-00096|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-04,4,QX-00005|110|BDZ-00028|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-05,5,QX-00005|110|BDZ-00028|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-06,6,QX-00005|110|BDZ-00124|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-07,7,QX-00005|110|BDZ-00124|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-08,8,QX-00005|110|BDZ-00026|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-09,9,QX-00005|110|BDZ-00037|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-10,10,QX-00005|35|BDZ-00255|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-11,11,QX-00005|35|BDZ-00290|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-12,12,QX-00005|35|BDZ-00290|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-13,13,QX-00005|35|BDZ-00248|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-14,14,QX-00005|35|BDZ-00314|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-15,15,QX-00005|35|BDZ-00314|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-16,16,QX-00005|110|BDZ-00135|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-17,17,QX-00005|110|BDZ-00135|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-18,18,QX-00005|35|BDZ-00246|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-19,19,QX-00005|35|BDZ-00246|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-20,20,QX-00005|110|BDZ-00048|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-21,21,QX-00005|35|BDZ-00325|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-22,22,QX-00005|35|BDZ-00325|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-23,23,QX-00005|110|BDZ-00141|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-24,24,QX-00005|35|BDZ-00255|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-25,25,QX-00005|110|BDZ-00005|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-26,26,QX-00005|110|BDZ-00005|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-27,27,QX-00005|35|BDZ-00247|#3,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-28,28,QX-00005|35|BDZ-00247|#4,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-29,29,QX-00005|110|BDZ-00172|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-30,30,QX-00005|110|BDZ-00172|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-31,31,QX-00005|110|BDZ-00021|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-32,32,QX-00005|110|BDZ-00021|#3,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-33,33,QX-00005|35|BDZ-00280|#2,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
TS-34,34,QX-00005|35|BDZ-00280|#1,conditional,1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
