conductor_key,model_raw,nominal_section_mm2_guess,span_count,total_length_km,feeders,r_ohm_per_km,x_ohm_per_km,ampacity_a,parameter_source,parameter_status,note
COND-01,JKLGYJ-240,DO_NOT_USE_GUESS,155,7.75,hdong,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-02,JKLGYJ-70,DO_NOT_USE_GUESS,12,0.6,dzhen,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-03,JKLYJ-150,DO_NOT_USE_GUESS,6,0.3,hpao,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-04,JKLYJ-240/10,DO_NOT_USE_GUESS,3,0.15,dzhen,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-05,JKLYJ/Q-10-240,DO_NOT_USE_GUESS,841,43.94,"dnan,dxi,dzhen,hzhen",WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-06,JKLYJ/QN-10-240,DO_NOT_USE_GUESS,5,0.25,hpao,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-07,JL(GD)/GIA-240/40,DO_NOT_USE_GUESS,39,1.95,hdong,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-08,JL/G1A-240/30,DO_NOT_USE_GUESS,6,0.3,hpao,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-09,JLB3-35,DO_NOT_USE_GUESS,1,0.05,hdong,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-10,JLRX/T-120/30,DO_NOT_USE_GUESS,1,0.05,dzhen,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
COND-11,LGJ-10-240,DO_NOT_USE_GUESS,55,2.75,hpao,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,WAITING_USER_SUPPLY,待补：设备台账/设计参数/厂家或甲方参数表,BLOCK_FORMAL_ELECTRICAL_RESULTS,型号和长度来自本轮结构化表；不再根据型号字符串末尾数字猜截面。收到参数后按model_raw精确映射。
