region_id,voltage_kv,scheme,component,capex_low_wanyuan,capex_base_wanyuan,capex_high_wanyuan,eac_low_wanyuan_per_year,eac_base_wanyuan_per_year,eac_high_wanyuan_per_year,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
QX-00001,35,A,expansion,,,,,,,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00001,35,A,storage,,,,,,,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00001,35,A,total,,,,,,,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00001,35,B,expansion,,,,,,,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00001,35,B,storage,,,,,,,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00001,35,B,total,,,,,,,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00001,35,C0,expansion,0,0,0,0,0,0,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00001,35,C0,storage,0,0,0,0,0,0,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00001,35,C0,total,0,0,0,0,0,0,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00003,35,A,expansion,0,0,0,0,0,0,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
QX-00003,35,A,storage,3051.72075,3055.034806,3943.94925,370.9432876,506.7323856,863.7831008,real_plan_county_solutions.csv+real_plan_actions.csv+expansion_cost_library.csv+model_contract.yaml,model_contract_2.0.0,split selected source-backed expansion and integer storage costs; reconcile to planner total,real_2025_cost_breakdown,model_assumption_cost_sensitivity_explicit,a93e9e8bb55105e1576dbccbf4880dcd8ecc785f6a5328ac48d052275e1c8997
