region_id,voltage_kv,evidence_grade,clr_official_reference,candidate_clr_min,candidate_clr_max,C0_status,A_status,B_status,A_clr_after,B_clr_after,A_eac_wanyuan_per_year,B_eac_wanyuan_per_year,A_expansion_action,B_expansion_action,A_storage_modules,B_storage_modules,recommended_current_measure,quality_notes
QX-00001,110,B,2.62,2.616839592,3.700303002,noncompliant,feasible,feasible,2.616839592,2.708658525,483.0907839,189.3142468,none,EXP-QX-00001-BDZ-00058-01,138,19,current-case B: expansion=EXP-QX-00001-BDZ-00058-01; storage_modules=19,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=feasible(feasible); B=feasible(feasible)"
QX-00003,110,B,3.09,3.087563492,3.88620899,noncompliant,feasible,feasible,3.087563492,3.087563492,604.7015069,604.7015069,none,none,173,173,current-case B: expansion=none; storage_modules=173,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=feasible(feasible); B=feasible(feasible)"
QX-00004,110,B,3.3,3.301381094,4.089676484,noncompliant,feasible,feasible,3.301381094,3.301381094,433.5391144,433.5391144,none,none,124,124,current-case B: expansion=none; storage_modules=124,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=feasible(feasible); B=feasible(feasible)"
QX-00005,110,C,2.24,2.236917769,3.066025406,noncompliant,feasible,feasible,2.236917769,2.289194417,4417.557077,2549.545388,none,EXP-QX-00005-BDZ-00162-01,1265,695,current-case B: expansion=EXP-QX-00005-BDZ-00162-01; storage_modules=695,"2025 transformer-hour map is not source-owner approved; reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=feasible(feasible); B=feasible(feasible)"
QX-00007,110,B,2.42,2.420821287,3.076228725,compliant,feasible,feasible,2.420821287,2.420821287,0.0,0.0,none,none,0,0,no incremental measure under modeled current constraints,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=compliant; A=feasible(feasible); B=feasible(feasible)"
QX-00008,110,B,2.42,2.421138554,3.184738533,noncompliant,infeasible,infeasible,,,,,infeasible:BDZ-00043:storage_required_but_no_available_connection_bay,infeasible:BDZ-00043:storage_required_but_no_available_connection_bay,0,0,no feasible modeled measure; BDZ-00043:storage_required_but_no_available_connection_bay,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=infeasible(BDZ-00043:storage_required_but_no_available_connection_bay); B=infeasible(BDZ-00043:storage_required_but_no_available_connection_bay)"
QX-00009,110,B,2.31,2.307654479,2.922373306,noncompliant,infeasible,infeasible,,,,,infeasible:BDZ-00014:missing_three_scenarios,infeasible:BDZ-00014:missing_three_scenarios,0,0,no feasible modeled measure; BDZ-00014:missing_three_scenarios,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=infeasible(BDZ-00014:missing_three_scenarios); B=infeasible(BDZ-00014:missing_three_scenarios)"
QX-00010,110,B,2.69,2.693527099,3.850131309,noncompliant,infeasible,infeasible,,,,,infeasible:BDZ-00145:missing_three_scenarios,infeasible:BDZ-00145:missing_three_scenarios,0,0,no feasible modeled measure; BDZ-00145:missing_three_scenarios,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=infeasible(BDZ-00145:missing_three_scenarios); B=infeasible(BDZ-00145:missing_three_scenarios)"
QX-00001,35,C,2.31,2.314001172,2.314001172,noncompliant,infeasible,infeasible,,,,,no_35kv_station_candidate; technical requirement only,no_35kv_station_candidate; technical requirement only,0,0,auxiliary technical requirement only; no unique discrete optimum; no feasible modeled measure; BDZ-00249:storage_required_but_no_available_connection_bay,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=infeasible(BDZ-00249:storage_required_but_no_available_connection_bay); B=infeasible(BDZ-00249:storage_required_but_no_available_connection_bay)"
QX-00003,35,C,2.42,2.420259657,2.420259657,noncompliant,feasible,feasible,2.420259657,2.420259657,506.7323856,506.7323856,no_35kv_station_candidate; technical requirement only,no_35kv_station_candidate; technical requirement only,145,145,auxiliary technical requirement only; no unique discrete optimum; current-case B: expansion=none; storage_modules=145,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=feasible(feasible); B=feasible(feasible)"
QX-00004,35,C,2.34,2.344995779,2.344995779,noncompliant,infeasible,infeasible,,,,,no_35kv_station_candidate; technical requirement only,no_35kv_station_candidate; technical requirement only,0,0,auxiliary technical requirement only; no unique discrete optimum; no feasible modeled measure; BDZ-00287:storage_required_but_no_available_connection_bay,"reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=infeasible(BDZ-00287:storage_required_but_no_available_connection_bay); B=infeasible(BDZ-00287:storage_required_but_no_available_connection_bay)"
QX-00005,35,C,1.86,1.862512699,1.862512699,noncompliant,infeasible,infeasible,,,,,no_35kv_station_candidate; technical requirement only,no_35kv_station_candidate; technical requirement only,0,0,auxiliary technical requirement only; no unique discrete optimum; no feasible modeled measure; BDZ-00247:missing_three_scenarios,"2025 transformer-hour map is not source-owner approved; reverse static extrema are bounds, not synchronous county peaks; 2026 PV is context only; C0=noncompliant; A=infeasible(BDZ-00247:missing_three_scenarios); B=infeasible(BDZ-00247:missing_three_scenarios)"
