series_column_1_based,source_header_station_id,transformer_uid,region_id,voltage_kv,station_id,unit_id,capacity_mva,candidate_score,max_error_fraction,min_error_fraction,snapshot_2026_error_fraction,snapshot_2026_match_count,nonmissing_hours_2025,approval_status,confidence,approval_reason,formal_use_allowed,candidate_map_sha256,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256,approval_authority,approval_date,approval_basis
1,BDZ-00141,QX-00005|110|BDZ-00141|#1,QX-00005,110,BDZ-00141,#1,50,0.0381,0.018,0.0074,0.011202,2,8759,approved,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
2,BDZ-00096,QX-00005|110|BDZ-00096|#1,QX-00005,110,BDZ-00096,#1,80,0.07669,0.0055,0.03013,0.00170125,2,8759,approved,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
3,BDZ-00096,QX-00005|110|BDZ-00096|#2,QX-00005,110,BDZ-00096,#2,80,0.11556,0.00088,0.05062,0.004165,2,8759,approved,medium,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
4,BDZ-00028,QX-00005|110|BDZ-00028|#1,QX-00005,110,BDZ-00028,#1,63,0.04222,0.02238,0,7.936507937e-06,1,8759,approved,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
5,BDZ-00028,QX-00005|110|BDZ-00028|#2,QX-00005,110,BDZ-00028,#2,100,0.0087,0.0048,0,0.004087,1,8759,approved,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
6,BDZ-00124,QX-00005|110|BDZ-00124|#1,QX-00005,110,BDZ-00124,#1,50,0.2652,0.0068,0.0688,2.8e-05,1,8759,approved,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
7,BDZ-00124,QX-00005|110|BDZ-00124|#2,QX-00005,110,BDZ-00124,#2,63,0.03476,0.01079,0.00794,6.825396825e-05,1,8759,approved,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
8,BDZ-00026,QX-00005|110|BDZ-00026|#1,QX-00005,110,BDZ-00026,#1,63,0.01238,0.00159,0.00667,0.06885555556,1,8759,approved,high,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
9,BDZ-00037,QX-00005|110|BDZ-00037|#1,QX-00005,110,BDZ-00037,#1,50,0,0,0,0.390186,2,8759,approved,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,True,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
10,BDZ-00255,QX-00005|35|BDZ-00255|#2,QX-00005,35,BDZ-00255,#2,10,0.04122,0.005,0.01415,,0,8759,approved,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_context_only,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
11,BDZ-00158,QX-00005|35|BDZ-00290|#1,QX-00005,35,BDZ-00290,#1,20,0.29325,0.0155,0,,0,8759,approved,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_context_only,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
12,BDZ-00158,QX-00005|35|BDZ-00290|#2,QX-00005,35,BDZ-00290,#2,10,0.00953,0.00286,0,,0,8759,approved,low,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,False,b83f400a357173ebeb29dcdaef1276b9e9be3986a56c5e1629ac8bf326a421c4,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, capacity and 2026 snapshot; retain source header",real_2021_2025,project_owner_approved_context_only,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,project_owner,2026-08-14,project_owner_approved_candidate_mapping_for_2025_operating_scope
