source_id,source_type,use,key_fact,url,reliability_note
S01,国家标准,JKLYJ/JKLGYJ族标准归属,GB/T 14049-2008现行：额定电压10kV架空绝缘电缆,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=498F0E9BDCC9F878D7A6272E0AEC46AD,A
S02,国家标准,JL/G1A等裸架空导线标准归属,GB/T 1179-2017现行：圆线同心绞架空导线,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=F936B58052E9B750D1FEF196B660A084,A
S03,发明专利技术实施例,10kV潮流典型R/X/I,"JKLYJ-240/10: 0.13+j0.356 Ω/km, 500A；JKLYJ-150:0.26368+j0.295839341,285A",https://patents.google.com/patent/CN116581754A/zh,A-典型参数库，不等同具体资产出厂值
S04,政府公开配网开放容量,10kV运营载流量参考,JKLGYJ-240约550A、JKLGYJ-70约245A；另有JKLYJ型号限额,https://upload.xuancheng.gov.cn/download?id=693357&siteId=6,A-实际配网限额口径
S05,政府公开配网开放容量,10kV运营载流量参考,JKLYJ-240约550A、JKLYJ-150约400A,https://upload.xuancheng.gov.cn/download?id=648384&siteId=3,A-实际配网限额口径
S06,政府工程,JKLGYJ型号规范化,10kV工程采用JKLGYJ-10-240/30,https://ggzy.ht.gov.cn/jyxx/001004/001004001/20260610/45de60d1-eae9-46a8-8704-cc5323d3b243.html,A
S07,政府工程,JKLGYJ型号规范化,10kV工程采用JKLGYJ-10-70/10,https://www.jl.gov.cn/ggzy/sysggzy/sysjyxx/sysgcjs/ccsgczbgg/202605/t20260528_9636242.html,A
S08,研究论文,高导电率JL(GD)/G1A-240/40,20℃Rdc=0.1171Ω/km；示例交流R=0.1232Ω/km,https://pdf.hanspub.org/tdet20200200000_87962235.pdf,B+ 原始研究参数
S09,政府环评/可研参数,JL/G1A-240/40载流量,允许载流量595.22A（给定工程条件）,https://hbj.yzcity.gov.cn/hbj/031005/202506/f53fbe5f8fab47c696d9720a7c11fad6/files/dd041c21d3304b01a96e41ee0fa8e614.pdf,A-条件相关
S10,政府环评/设计参数,JL/G1A-240/30电阻,20℃直流电阻0.1181Ω/km,https://sthjj.huhhot.gov.cn/ywgz/hjyxpj/xmslqk/202511/P020251127380578958416.pdf,A
S11,政府环评/可研参数,LGJ-240/30载流量,562A/相（环境40℃、线温80℃）,https://sthjj.quanzhou.gov.cn/hjgl/hbsp/hpslqkgk/202606/P020260618423129515361.pdf,A-条件明确
S12,国家公共资源项目,LGJ-10-240命名映射,10kV架空工程采用LGJ-240/30,https://www.ggzy.gov.cn/information/deal/html/b/0067/0101/20260604/00679edf62f7e5a847868b19d27564377738.html,A
S13,发明专利,JLRX/T族识别,JLRX/T属于碳纤维复合芯耐热导线家族,https://patents.google.com/patent/CN105529651A/zh,A-家族确认，非120/30精确参数
