issue_id,severity,entity_id,description,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256,year,timestamp,source_column_1_based,source_header_station_id,transformer_uid,raw_value_mw
DQ-35-QX00005,resolved,QX-00005|35,"35 kV station aggregation, transformer sum and official anchor all equal 275 MVA; reconciled 2026-08-24, no blocking remains.",SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,resolved_2026-08-24,real_2021_2025,open,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,,,,,,
DQ-35-QX00010,warning,QX-00010|35,Operating scope uses official 232 MVA anchor; year-end device table 192 MVA documented as equipment-reality context only (same dual-scope treatment as 110 kV).,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,resolved_by_official_anchor_precedence_2026-08-24,real_2021_2025,open,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,,,,,,
DQ-PV-SNAPSHOT-YEAR,warning,all_regions,PV capacity snapshot is from 2026 context and is not relabeled as 2025.,SRC05,电网建模数据_Agent整合版_V1.2,snapshot date audit,real_2021_2025,open,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,,,,,,
DQ-STATION-EXTREMA-124,warning,BDZ-00014,Station annual maximum or minimum net load is missing.,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,null check,real_2021_2025,missing_extrema,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,,,,,,
DQ-STATION-EXTREMA-96,warning,BDZ-00056,Station annual maximum or minimum net load is missing.,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,null check,real_2021_2025,missing_extrema,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,,,,,,
DQ-TIMESERIES-CANDIDATE,warning_for_scope_exceptions,QX-00005,2025 time-series mapping is approved for 40 operating 110 kV transformers; 16 35 kV rows are approved as context only and the two BDZ-00056 year-end-only rows are excluded from the operating gate.,SRC07+candidate_map,电网建模数据_Agent整合版_V1.2,approval gate,real_2021_2025,project_owner_approved_with_scope_exceptions,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,,,,,,
DQ-TRANSFORMER-EMPTY-177,warning,BDZ-00143,SRC02 row has no valid transformer unit or capacity and is excluded from equipment counts.,SRC02:主变1,电网建模数据_Agent整合版_V1.2,validate unit ID and positive rated capacity before standardization,real_2021_2025,empty_placeholder_excluded,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176,,,,,,
DQ-V3-MAPPING-APPROVAL,warning_for_scope_exceptions,QX-00005,"56 reviewed source columns are approved by project_owner; the two BDZ-00056 year-end-only columns remain excluded from the 2025 QX-00005 110 kV operating whitelist, while historical completeness and 2024 anomaly isolation remain disclosed.",SRC07+candidate_map,电网建模数据_Agent整合版_V1.2,annual whitelist gate,real_2021_2025,project_owner_approved_with_scope_exceptions,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,,,,,,
TS-2022-55-SUMMARY,,,mapping=approved; missing=8760; outlier=0,SRC07:Sheet1,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2022.0,,55.0,BDZ-00022,QX-00005|110|BDZ-00022|#1,
TS-2022-56-SUMMARY,,,mapping=approved; missing=8760; outlier=0,SRC07:Sheet1,电网建模数据_Agent整合版_V1.2,summarize annual quality flags for mapping gate,real_2021_2025,project_owner_approved_2025_operating_110kv,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911,2022.0,,56.0,BDZ-00022,QX-00005|110|BDZ-00022|#2,
