issue_source,issue_id,severity_or_status,entity_id,description,source_ref,source_version,transformation,scenario_id,quality_flag,source_sha256
adapter,DQ-35-QX00005,blocking_for_unique_optimum,QX-00005|35,"Official, station and transformer 35 kV capacity scopes require reconciliation.",SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,asset-scope comparison,real_2025,open,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
adapter,DQ-35-QX00010,blocking_for_unique_optimum,QX-00010|35,Official and year-end transformer 35 kV capacity scopes require reconciliation.,SRC02+SRC03+SRC08,电网建模数据_Agent整合版_V1.2,asset-scope comparison,real_2025,open,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
adapter,DQ-PV-SNAPSHOT-YEAR,warning,all_regions,PV capacity snapshot is from 2026 context and is not relabeled as 2025.,SRC05,电网建模数据_Agent整合版_V1.2,snapshot date audit,real_2025,open,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
adapter,DQ-STATION-EXTREMA-124,warning,BDZ-00014,Station annual maximum or minimum net load is missing.,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,null check,real_2025,missing_extrema,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
adapter,DQ-STATION-EXTREMA-96,warning,BDZ-00056,Station annual maximum or minimum net load is missing.,SRC01:变电站1,电网建模数据_Agent整合版_V1.2,null check,real_2025,missing_extrema,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
adapter,DQ-TIMESERIES-CANDIDATE,blocking_for_grade_A,QX-00005,2025 time-series column map is candidate-only until stage-2 cross-validation.,SRC07+candidate_map,电网建模数据_Agent整合版_V1.2,approval gate,real_2025,open,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
adapter,DQ-TRANSFORMER-EMPTY-177,warning,BDZ-00143,SRC02 row has no valid transformer unit or capacity and is excluded from equipment counts.,SRC02:主变1,电网建模数据_Agent整合版_V1.2,validate unit ID and positive rated capacity before standardization,real_2025,empty_placeholder_excluded,563180da9b4fd16012c14ddb974e76ce1f06dfdd8ca13816a2ac529901b91176
empirical_scenarios,EMPIRICAL_SCENARIOS-0001,information,BDZ-00056,missing_static_extrema_no_empirical_scenario,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,fbaef4360844b9c0f5d537c8b1a1eb34b180b32f666258dcd6ee2272be49e5aa
empirical_scenarios,EMPIRICAL_SCENARIOS-0002,information,BDZ-00270,missing_equipment_feature_no_empirical_scenario,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,fbaef4360844b9c0f5d537c8b1a1eb34b180b32f666258dcd6ee2272be49e5aa
empirical_scenarios,EMPIRICAL_SCENARIOS-0003,information,BDZ-00142,missing_equipment_feature_no_empirical_scenario,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,fbaef4360844b9c0f5d537c8b1a1eb34b180b32f666258dcd6ee2272be49e5aa
empirical_scenarios,EMPIRICAL_SCENARIOS-0004,information,BDZ-00014,missing_static_extrema_no_empirical_scenario,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,fbaef4360844b9c0f5d537c8b1a1eb34b180b32f666258dcd6ee2272be49e5aa
empirical_scenarios,EMPIRICAL_SCENARIOS-0005,information,BDZ-00161,missing_equipment_feature_no_empirical_scenario,transformer_hourly_2025.csv.gz+station_static_load.csv+station_pv_snapshot.csv+county_clr_reference.csv,电网建模数据_Agent整合版_V1.2,match same-voltage QX-00005 station-day shapes and piecewise-scale to exact target static positive/reverse peaks,real_2025_empirical_duration,conditional_mapping_for_empirical_shape_only_not_measured_target_timeseries,fbaef4360844b9c0f5d537c8b1a1eb34b180b32f666258dcd6ee2272be49e5aa
timeseries_mapping,TS-01,conditional,QX-00005|110|BDZ-00141|#1,algorithmic cross-check only; source-owner approval is still required for formal 8760 use,SRC07:Sheet3+SRC02+SRC05+candidate_map,电网建模数据_Agent整合版_V1.2,"cross-check candidate against 2025 extrema, rated capacity and 2026 snapshot",real_2025_timeseries_review,mapping_conditional,38837890ab239005f7ce26b33a3510d948a13abfea1ad8dae387b8ef8a83e911
